branch,counterparty,credit_account,credit_account_2,credit_amount,credit_amount_2,currency,date,debit_account,debit_amount,description,id,type
Avignon,Transfer to Rome,Cash,Exchange Fee Revenue,386583.922578,8453.807422,florin,1390-01-14,Due from Rome,395037.73,Bill of exchange from Avignon to Rome,48,bill_of_exchange
Milan,Transfer to Bruges,Cash,Exchange Fee Revenue,122913.25,1656.78,florin,1390-01-14,Due from Bruges,124570.03,Bill of exchange from Milan to Bruges,49,bill_of_exchange
Rome,Apostolic Chamber,Deposits Payable,,207341.49,,florin,1390-01-14,Cash,207341.49,Deposit from Apostolic Chamber to Rome branch,50,deposit
Geneva,Jewel Trader,Deposits Payable,,5013.53,,florin,1390-01-15,Cash,5013.53,Deposit by Jewel Trader,51,deposit
Bruges,Transfer to Rome,Cash,Exchange Fee Revenue,3413.627475,60.802525,florin,1390-01-15,Due from Rome,3474.43,Bill of exchange from Bruges to Rome,52,bill_of_exchange
Avignon,Cardinal,Deposits Payable,,227643.65,,florin,1390-01-15,Cash,227643.65,Deposit by Cardinal,53,deposit
Bruges,Archbishop,Cash,,82084.5,,florin,1390-01-15,Loans Receivable,82084.5,Loan issued to Archbishop from Bruges branch,54,loan_issuance
Venice,Transfer to Milan,Cash,Exchange Fee Revenue,219797.66,5566.49,florin,1390-01-15,Due from Milan,225364.15,Bill of exchange from Venice to Milan,55,bill_of_exchange
Avignon,Grain Merchant,Deposits Payable,,12064.59,,florin,1390-01-15,Cash,12064.59,Deposit by Grain Merchant,56,deposit
Avignon,Avignon Operations,Cash,,3815.32,,florin,1390-01-16,Courier Services,3815.32,Courier Services expense for Avignon branch,57,operating_expense
Geneva,Geneva Operations,Cash,,2197.42,,florin,1390-01-16,Supplies,2197.42,Supplies expense for Geneva branch,58,operating_expense
Florence,Trading Company,Trading Revenue,,227103.86,,florin,1390-01-16,Cash,227103.86,Alum sale from papal mines,59,alum_trade
Bruges,Doge of Venice,Deposits Payable,,16680.05,,florin,1390-01-16,Cash,16680.05,Deposit by Doge of Venice,60,deposit
Florence,Trading Company,Trading Revenue,,3925.0,,florin,1390-01-16,Cash,3925.0,Alum sale from papal mines,61,alum_trade
Florence,Republic of Florence,Cash,,153061.93,,florin,1390-01-16,Loans Receivable - Government,153061.93,War financing for Florentine operations against Milan,62,war_financing
Milan,Archbishop,Deposits Payable,,12084.49,,florin,1390-01-17,Cash,12084.49,Deposit by Archbishop,63,deposit
Geneva,Transfer to Venice,Cash,Exchange Fee Revenue,27702.42,562.47,florin,1390-01-17,Due from Venice,28264.89,Bill of exchange from Geneva to Venice,64,bill_of_exchange
Florence,Wool Merchant,Trading Revenue,,2852.9,,florin,1390-01-17,Cash,2852.9,Alum sale from papal mines,65,alum_trade
Rome,Wine Trader,Trading Revenue,,41680.49,,florin,1390-01-17,Cash,41680.49,Alum sale from papal mines,66,alum_trade
London,London Operations,Cash,,352.84,,florin,1390-01-18,Maintenance,352.84,Maintenance expense for London branch,67,operating_expense
Milan,Jewel Trader,Cash,,7224.04,,florin,1390-01-18,Loans Receivable,7224.04,Loan issued to Jewel Trader from Milan branch,68,loan_issuance
Avignon,Transfer to Florence,Cash,Exchange Fee Revenue,1404.28,17.2,florin,1390-01-18,Due from Florence,1421.48,Bill of exchange from Avignon to Florence,69,bill_of_exchange
Rome,Duke of Milan,Cash,,32191.28,,florin,1390-01-18,Loans Receivable,32191.28,Loan issued to Duke of Milan from Rome branch,70,loan_issuance
Florence,Republic of Florence,Cash,,739273.07,,florin,1390-01-18,Loans Receivable - Government,739273.07,War financing for Florentine operations against Milan,71,war_financing
London,Cardinal,Loans Receivable,Interest Income,13746.57,2336.92,florin,1390-01-18,Cash,16083.49,Loan repayment from Cardinal with interest,72,loan_repayment
Florence,Florence Operations,Cash,,223.63,,florin,1390-01-19,Supplies,223.63,Supplies expense for Florence branch,73,operating_expense
Rome,Holy See,Deposits Payable,,242861.19,,florin,1390-01-19,Cash,242861.19,Deposit from Holy See to Rome branch,74,deposit
Geneva,Gold Merchant,Cash,,5280.65,,florin,1390-01-19,Loans Receivable,5280.65,Loan issued to Gold Merchant from Geneva branch,75,loan_issuance
Florence,Republic of Florence,Cash,,640972.37,,florin,1390-01-19,Loans Receivable - Government,640972.37,War financing for Florentine operations against Milan,76,war_financing
Geneva,Duke of Milan,Loans Receivable,Interest Income,127408.78,28029.93,florin,1390-01-19,Cash,155438.71,Loan repayment from Duke of Milan with interest,77,loan_repayment
Florence,Wool Merchant,Loans Receivable,Interest Income,66972.58,6697.26,florin,1390-01-20,Cash,73669.84,Loan repayment from Wool Merchant with interest,78,loan_repayment
Geneva,Gold Merchant,Loans Receivable,Interest Income,119809.24,29952.31,florin,1390-01-20,Cash,149761.55,Loan repayment from Gold Merchant with interest,79,loan_repayment
Avignon,Armor Smith,Loans Receivable,Interest Income,8800.91,1232.13,florin,1390-01-20,Cash,10033.04,Loan repayment from Armor Smith with interest,80,loan_repayment
Rome,Apostolic Chamber,Deposits Payable,,11196.92,,florin,1390-01-21,Cash,11196.92,Deposit from Apostolic Chamber to Rome branch,81,deposit
London,London Operations,Cash,,17307.53,,florin,1390-01-21,Wages,17307.53,Wages expense for London branch,82,operating_expense
Florence,Republic of Florence,Cash,,158126.34,,florin,1390-01-22,Loans Receivable - Government,158126.34,Loan to Venice for Lombardy Wars operations,83,war_financing
London,Banking House,Cash,,103757.73,,florin,1390-01-22,Loans Receivable,103757.73,Loan issued to Banking House from London branch,84,loan_issuance
Florence,Republic of Florence,Cash,,145853.96,,florin,1390-01-22,Loans Receivable - Government,145853.96,Emergency war financing for Florence defense,85,war_financing
Venice,Transfer to Bruges,Cash,Exchange Fee Revenue,59896.98,1316.08,florin,1390-01-22,Due from Bruges,61213.06,Bill of exchange from Venice to Bruges,86,bill_of_exchange
Rome,Spice Merchant,Loans Receivable,Interest Income,209298.89,37673.8,florin,1390-01-23,Cash,246972.69,Loan repayment from Spice Merchant with interest,87,loan_repayment
Rome,Archbishop,Cash,,476426.02,,florin,1390-01-23,Deposits Payable,476426.02,Withdrawal by Archbishop,88,withdrawal
Florence,Spice Merchant,Cash,,6143.14,,florin,1390-01-23,Deposits Payable,6143.14,Withdrawal by Spice Merchant,89,withdrawal
Florence,Republic of Florence,Cash,,110507.78,,florin,1390-01-23,Loans Receivable - Government,110507.78,Loan to Venice for Lombardy Wars operations,90,war_financing
Avignon,Jewel Trader,Deposits Payable,,212970.83,,florin,1390-01-23,Cash,212970.83,Deposit by Jewel Trader,91,deposit
Florence,Republic of Florence,Cash,,2156915.45,,florin,1390-01-23,Loans Receivable - Government,2156915.45,Loan to Venice for Lombardy Wars operations,92,war_financing
Geneva,Geneva Operations,Cash,,254.03,,florin,1390-01-24,Wages,254.03,Wages expense for Geneva branch,93,operating_expense
Rome,Cardinal's Office,Deposits Payable,,25200.76,,florin,1390-01-24,Cash,25200.76,Deposit from Cardinal's Office to Rome branch,94,deposit
Rome,Holy See,Deposits Payable,,326793.89,,florin,1390-01-24,Cash,326793.89,Deposit from Holy See to Rome branch,95,deposit
Rome,Marquis,Deposits Payable,,93380.6,,florin,1390-01-24,Cash,93380.6,Deposit by Marquis,96,deposit
London,Lord,Cash,,351315.76,,florin,1390-01-24,Loans Receivable,351315.76,Loan issued to Lord from London branch,97,loan_issuance
Florence,Spice Merchant,Cash,,388418.23,,florin,1390-01-25,Loans Receivable,388418.23,Loan issued to Spice Merchant from Florence branch,98,loan_issuance
Venice,Grain Merchant,Trading Revenue,,1216.81,,florin,1390-01-25,Cash,1216.81,Alum sale from papal mines,99,alum_trade
Florence,Republic of Florence,Cash,,154495.39,,florin,1390-01-25,Loans Receivable - Government,154495.39,Emergency war financing for Florence defense,100,war_financing
Milan,Transfer to London,Cash,Exchange Fee Revenue,328216.92,9003.79,florin,1390-01-25,Due from London,337220.71,Bill of exchange from Milan to London,101,bill_of_exchange
Venice,Wool Merchant,Trading Revenue,,615.7,,florin,1390-01-25,Cash,615.7,Alum sale from papal mines,102,alum_trade
Avignon,Transfer to Milan,Cash,Exchange Fee Revenue,80743.27,1088.36,florin,1390-01-25,Due from Milan,81831.63,Bill of exchange from Avignon to Milan,103,bill_of_exchange
Rome,Vatican Treasury,Deposits Payable,,19083.92,,florin,1390-01-26,Cash,19083.92,Deposit from Vatican Treasury to Rome branch,104,deposit
Geneva,Cloth Merchant,Cash,,2373.94,,florin,1390-01-27,Loans Receivable,2373.94,Loan issued to Cloth Merchant from Geneva branch,105,loan_issuance
Florence,Republic of Florence,Cash,,3988489.26,,florin,1390-01-27,Loans Receivable - Government,3988489.26,Loan to Venice for Lombardy Wars operations,106,war_financing
Rome,Holy See,Deposits Payable,,10380.73,,florin,1390-01-27,Cash,10380.73,Deposit from Holy See to Rome branch,107,deposit
Florence,Republic of Florence,Cash,,176390.4,,florin,1390-01-27,Loans Receivable - Government,176390.4,War financing for Florentine operations against Milan,108,war_financing
Rome,Wool Merchant,Trading Revenue,,814.5,,florin,1390-01-28,Cash,814.5,Alum sale from papal mines,109,alum_trade
Florence,Republic of Florence,Cash,,23028.2,,florin,1390-01-28,Loans Receivable - Government,23028.2,War financing for Florentine operations against Milan,110,war_financing
Florence,Republic of Florence,Cash,,1680764.38,,florin,1390-01-28,Loans Receivable - Government,1680764.38,Emergency war financing for Florence defense,111,war_financing
London,King of Naples,Loans Receivable,Interest Income,8890.35,800.13,florin,1390-01-28,Cash,9690.48,Loan repayment from King of Naples with interest,112,loan_repayment
Geneva,Trading Company,Deposits Payable,,57277.71,,florin,1390-01-28,Cash,57277.71,Deposit by Trading Company,113,deposit
Geneva,Transfer to Rome,Cash,Exchange Fee Revenue,9318.67448,103.64552,florin,1390-01-29,Due from Rome,9422.32,Bill of exchange from Geneva to Rome,114,bill_of_exchange
London,London Operations,Cash,,8694.48,,florin,1390-01-29,Wages,8694.48,Wages expense for London branch,115,operating_expense
Florence,Florence Operations,Cash,,2695.97,,florin,1390-01-29,Rent,2695.97,Rent expense for Florence branch,116,operating_expense
Bruges,King of Naples,Deposits Payable,,2207.07,,florin,1390-01-29,Cash,2207.07,Deposit by King of Naples,117,deposit
Florence,Armor Smith,Trading Revenue,,174847.54,,florin,1390-01-30,Cash,174847.54,Alum sale from papal mines,118,alum_trade
Rome,Sacred College,Deposits Payable,,2239584.59,,florin,1390-01-30,Cash,2239584.59,Deposit from Sacred College to Rome branch,119,deposit
Geneva,Jewel Trader,Cash,,354920.93,,florin,1390-01-30,Deposits Payable,354920.93,Withdrawal by Jewel Trader,120,withdrawal
Rome,Sacred College,Deposits Payable,,2153692.95,,florin,1390-01-30,Cash,2153692.95,Deposit from Sacred College to Rome branch,121,deposit
Rome,Papal Court,Deposits Payable,,50597.36,,florin,1390-01-30,Cash,50597.36,Deposit from Papal Court to Rome branch,122,deposit
London,Wine Trader,Deposits Payable,,62294.6,,florin,1390-01-30,Cash,62294.6,Deposit by Wine Trader,123,deposit
Avignon,Avignon Operations,Cash,,195.42,,florin,1390-01-30,Courier Services,195.42,Courier Services expense for Avignon branch,124,operating_expense
Florence,Republic of Florence,Cash,,63242.63,,florin,1390-01-31,Loans Receivable - Government,63242.63,Emergency war financing for Florence defense,125,war_financing
Bruges,Transfer to Milan,Cash,Exchange Fee Revenue,4909.61,55.61,florin,1390-01-31,Due from Milan,4965.22,Bill of exchange from Bruges to Milan,126,bill_of_exchange
Avignon,Avignon Operations,Cash,,22.8,,florin,1390-01-31,Courier Services,22.8,Courier Services expense for Avignon branch,127,operating_expense
Geneva,King of Naples,Loans Receivable,Interest Income,15602.44,3588.56,florin,1390-01-31,Cash,19191.0,Loan repayment from King of Naples with interest,128,loan_repayment
Florence,Republic of Florence,Cash,,157090.12,,florin,1390-01-31,Loans Receivable - Government,157090.12,Loan to Venice for Lombardy Wars operations,129,war_financing
Rome,Papal Curia,Deposits Payable,,12737.1,,florin,1390-01-31,Cash,12737.1,Deposit from Papal Curia to Rome branch,130,deposit
Venice,Venice Operations,Cash,,180.98,,florin,1390-02-01,Courier Services,180.98,Courier Services expense for Venice branch,131,operating_expense
Rome,Papal Curia,Deposits Payable,,1869813.54,,florin,1390-02-01,Cash,1869813.54,Deposit from Papal Curia to Rome branch,132,deposit
Rome,Apostolic Chamber,Deposits Payable,,98221.32,,florin,1390-02-02,Cash,98221.32,Deposit from Apostolic Chamber to Rome branch,133,deposit
Rome,Transfer to Avignon,Cash,Exchange Fee Revenue,131146.159281,1956.610719,florin,1390-02-03,Due from Avignon,133102.77,Bill of exchange from Rome to Avignon,134,bill_of_exchange
Rome,Holy See,Deposits Payable,,7776.59,,florin,1390-02-03,Cash,7776.59,Deposit from Holy See to Rome branch,135,deposit
Florence,Republic of Florence,Cash,,160250.66,,florin,1390-02-03,Loans Receivable - Government,160250.66,Loan to Venice for Lombardy Wars operations,136,war_financing
London,London Operations,Cash,,40.37,,florin,1390-02-03,Supplies,40.37,Supplies expense for London branch,137,operating_expense
Rome,Spice Merchant,Trading Revenue,,3563.99,,florin,1390-02-03,Cash,3563.99,Alum sale from papal mines,138,alum_trade
Avignon,King of Naples,Cash,,70340.96,,florin,1390-02-03,Loans Receivable,70340.96,Loan issued to King of Naples from Avignon branch,139,loan_issuance
Avignon,Armor Smith,Loans Receivable,Interest Income,52822.77,5810.5,florin,1390-02-03,Cash,58633.27,Loan repayment from Armor Smith with interest,140,loan_repayment
Avignon,Transfer to Bruges,Cash,Exchange Fee Revenue,710.19685,10.30315,florin,1390-02-04,Due from Bruges,720.5,Bill of exchange from Avignon to Bruges,141,bill_of_exchange
Florence,Republic of Florence,Cash,,302808.22,,florin,1390-02-04,Loans Receivable - Government,302808.22,Emergency war financing for Florence defense,142,war_financing
Bruges,Grain Merchant,Cash,,56702.64,,florin,1390-02-04,Loans Receivable,56702.64,Loan issued to Grain Merchant from Bruges branch,143,loan_issuance
Florence,Republic of Florence,Cash,,2638323.13,,florin,1390-02-04,Loans Receivable - Government,2638323.13,Emergency war financing for Florence defense,144,war_financing
Florence,Spice Merchant,Deposits Payable,,162974.37,,florin,1390-02-04,Cash,162974.37,Deposit by Spice Merchant,145,deposit
Avignon,Doge of Venice,Loans Receivable,Interest Income,3185.12,764.43,florin,1390-02-04,Cash,3949.55,Loan repayment from Doge of Venice with interest,146,loan_repayment
Rome,Wine Trader,Loans Receivable,Interest Income,2082.28,312.34,florin,1390-02-04,Cash,2394.62,Loan repayment from Wine Trader with interest,147,loan_repayment
Rome,Apostolic Chamber,Deposits Payable,,37239.29,,florin,1390-02-04,Cash,37239.29,Deposit from Apostolic Chamber to Rome branch,148,deposit
Florence,Republic of Florence,Cash,,338322.95,,florin,1390-02-05,Loans Receivable - Government,338322.95,Loan to Venice for Lombardy Wars operations,149,war_financing
Rome,Transfer to London,Cash,Exchange Fee Revenue,8864.36008,124.03992,florin,1390-02-05,Due from London,8988.4,Bill of exchange from Rome to London,150,bill_of_exchange
Florence,Republic of Florence,Cash,,3345118.52,,florin,1390-02-05,Loans Receivable - Government,3345118.52,War financing for Florentine operations against Milan,151,war_financing
Florence,Doge of Venice,Loans Receivable,Interest Income,46968.85,4696.88,florin,1390-02-05,Cash,51665.73,Loan repayment from Doge of Venice with interest,152,loan_repayment
Geneva,Transfer to Rome,Cash,Exchange Fee Revenue,959919.2,26130.31,florin,1390-02-06,Due from Rome,986049.51,Bill of exchange from Geneva to Rome,153,bill_of_exchange
Florence,Republic of Florence,Cash,,608121.02,,florin,1390-02-06,Loans Receivable - Government,608121.02,Emergency war financing for Florence defense,154,war_financing
Florence,Republic of Florence,Cash,,114743.19,,florin,1390-02-07,Loans Receivable - Government,114743.19,War financing for Florentine operations against Milan,155,war_financing
Florence,Baron,Cash,,73278.79,,florin,1390-02-07,Deposits Payable,73278.79,Withdrawal by Baron,156,withdrawal
Venice,Count of Urbino,Loans Receivable,Interest Income,435823.12,91522.86,florin,1390-02-07,Cash,527345.98,Loan repayment from Count of Urbino with interest,157,loan_repayment
Milan,Trading Company,Loans Receivable,Interest Income,24965.22,5242.7,florin,1390-02-07,Cash,30207.92,Loan repayment from Trading Company with interest,158,loan_repayment
Rome,Cardinal's Office,Deposits Payable,,92330.53,,florin,1390-02-07,Cash,92330.53,Deposit from Cardinal's Office to Rome branch,159,deposit
Venice,Cloth Merchant,Trading Revenue,,2356.72,,florin,1390-02-07,Cash,2356.72,Alum sale from papal mines,160,alum_trade
Rome,Banking House,Trading Revenue,,1606.58,,florin,1390-02-07,Cash,1606.58,Alum sale from papal mines,161,alum_trade
Florence,Republic of Florence,Cash,,72797.96,,florin,1390-02-08,Loans Receivable - Government,72797.96,Emergency war financing for Florence defense,162,war_financing
Florence,Republic of Florence,Cash,,218185.56,,florin,1390-02-08,Loans Receivable - Government,218185.56,War financing for Florentine operations against Milan,163,war_financing
Rome,Silk Trader,Trading Revenue,,2737.7,,florin,1390-02-08,Cash,2737.7,Alum sale from papal mines,164,alum_trade
Florence,Wool Merchant,Deposits Payable,,74991.62,,florin,1390-02-08,Cash,74991.62,Deposit by Wool Merchant,165,deposit
Rome,Holy See,Deposits Payable,,15080.0,,florin,1390-02-09,Cash,15080.0,Deposit from Holy See to Rome branch,166,deposit
Rome,Papal Curia,Deposits Payable,,29690.77,,florin,1390-02-09,Cash,29690.77,Deposit from Papal Curia to Rome branch,167,deposit
Venice,Doge of Venice,Cash,,86204.78,,florin,1390-02-09,Loans Receivable,86204.78,Loan issued to Doge of Venice from Venice branch,168,loan_issuance
Florence,Republic of Florence,Cash,,93847.79,,florin,1390-02-09,Loans Receivable - Government,93847.79,Loan to Venice for Lombardy Wars operations,169,war_financing
Rome,Papal Court,Deposits Payable,,964891.14,,florin,1390-02-10,Cash,964891.14,Deposit from Papal Court to Rome branch,170,deposit
Geneva,Lord,Deposits Payable,,3331.83,,florin,1390-02-10,Cash,3331.83,Deposit by Lord,171,deposit
Rome,Papal Court,Deposits Payable,,40254.99,,florin,1390-02-10,Cash,40254.99,Deposit from Papal Court to Rome branch,172,deposit
Rome,Apostolic Chamber,Deposits Payable,,316334.15,,florin,1390-02-10,Cash,316334.15,Deposit from Apostolic Chamber to Rome branch,173,deposit
Rome,Cardinal's Office,Deposits Payable,,16124.84,,florin,1390-02-11,Cash,16124.84,Deposit from Cardinal's Office to Rome branch,174,deposit
Milan,Milan Operations,Cash,,6384.04,,florin,1390-02-11,Maintenance,6384.04,Maintenance expense for Milan branch,175,operating_expense
Florence,Republic of Florence,Cash,,57255.43,,florin,1390-02-12,Loans Receivable - Government,57255.43,Emergency war financing for Florence defense,176,war_financing
Venice,Cloth Merchant,Cash,,6719.94,,florin,1390-02-12,Loans Receivable,6719.94,Loan issued to Cloth Merchant from Venice branch,177,loan_issuance
Rome,Papal Curia,Deposits Payable,,50252.55,,florin,1390-02-12,Cash,50252.55,Deposit from Papal Curia to Rome branch,178,deposit
Venice,Trading Company,Deposits Payable,,339736.61,,florin,1390-02-12,Cash,339736.61,Deposit by Trading Company,179,deposit
Bruges,Silk Trader,Loans Receivable,Interest Income,4581.01,1099.44,florin,1390-02-13,Cash,5680.45,Loan repayment from Silk Trader with interest,180,loan_repayment
Avignon,Lord,Cash,,14254.62,,florin,1390-02-14,Deposits Payable,14254.62,Withdrawal by Lord,181,withdrawal
Milan,Transfer to Florence,Cash,Exchange Fee Revenue,64515.72,882.88,florin,1390-02-14,Due from Florence,65398.6,Bill of exchange from Milan to Florence,182,bill_of_exchange
Milan,Grain Merchant,Deposits Payable,,7440.73,,florin,1390-02-14,Cash,7440.73,Deposit by Grain Merchant,183,deposit
Florence,Transfer to Avignon,Cash,Exchange Fee Revenue,502112.22,10299.48,florin,1390-02-14,Due from Avignon,512411.7,Bill of exchange from Florence to Avignon,184,bill_of_exchange
Florence,Republic of Florence,Cash,,100417.15,,florin,1390-02-14,Loans Receivable - Government,100417.15,Loan to Venice for Lombardy Wars operations,185,war_financing
Rome,Count of Urbino,Cash,,372053.38,,florin,1390-02-15,Loans Receivable,372053.38,Loan issued to Count of Urbino from Rome branch,186,loan_issuance
Rome,Papal Court,Deposits Payable,,272461.63,,florin,1390-02-15,Cash,272461.63,Deposit from Papal Court to Rome branch,187,deposit
Rome,Silk Trader,Trading Revenue,,10367.53,,florin,1390-02-15,Cash,10367.53,Alum sale from papal mines,188,alum_trade
Milan,Cardinal,Loans Receivable,Interest Income,27582.13,5792.2473,florin,1390-02-16,Cash,33374.3773,Loan repayment from Cardinal with interest,189,loan_repayment
Rome,Banking House,Cash,,4941.18,,florin,1390-02-16,Deposits Payable,4941.18,Withdrawal by Banking House,190,withdrawal
Florence,Republic of Florence,Cash,,276152.66,,florin,1390-02-16,Loans Receivable - Government,276152.66,Loan to Venice for Lombardy Wars operations,191,war_financing
Florence,Trading Company,Trading Revenue,,1307.61,,florin,1390-02-16,Cash,1307.61,Alum sale from papal mines,192,alum_trade
Bruges,Duke of Milan,Deposits Payable,,19846.21,,florin,1390-02-17,Cash,19846.21,Deposit by Duke of Milan,193,deposit
Geneva,Gold Merchant,Deposits Payable,,14918.98,,florin,1390-02-17,Cash,14918.98,Deposit by Gold Merchant,194,deposit
